,shift,activity,date_time
0,0,Card reader CPC D1.41,2016-06-07 14:54:19
1,0,Card reader CPC D1.10,2016-06-07 14:54:24
2,1,CP-2.04 Exit through the turnstile 3,2016-06-09 08:51:03
3,1,Patient_registration_for_HTMC,2016-06-09 09:44:00
4,1,Charge,2016-06-09 10:05:00
5,1,Charge,2016-06-09 10:16:00
6,1,Charge,2016-06-09 10:16:00
7,1,Patient_registration_for_HTMC,2016-06-09 11:47:00
8,1,Card reader CPC D2.14 ESMI,2016-06-09 12:20:39
9,1,Card reader CPC D2.14 ESMI,2016-06-09 12:20:43
10,1,Card reader CPC D7.06,2016-06-09 12:30:09
11,1,Patient_registration_for_HTMC,2016-06-09 15:41:00
12,2,CP-2.04 Exit through the turnstile 3,2016-06-10 08:50:28
13,2,Card reader CPC D1.41,2016-06-10 08:51:53
14,2,Charge,2016-06-10 09:07:00
15,2,Patient_registration_for_HTMC,2016-06-10 09:29:00
16,2,Medical_documentation_and_release_records,2016-06-10 09:33:00
17,2,Charge,2016-06-10 10:02:00
18,2,Charge,2016-06-10 11:16:00
19,2,Charge,2016-06-10 11:18:00
20,2,Charge,2016-06-10 11:34:00
21,2,Charge,2016-06-10 12:54:00
22,2,Charge,2016-06-10 13:38:00
23,2,Patient_registration_for_specialized_medical_aid,2016-06-10 13:39:00
24,2,Charge,2016-06-10 13:58:00
25,2,Patient_registration_for_specialized_medical_aid,2016-06-10 13:58:00
26,2,Patient_registration_for_HTMC,2016-06-10 15:39:00
27,3,CP-2.04 Exit through the turnstile 3,2016-06-14 08:36:45
28,3,CP-2.04 Exit through the turnstile 3,2016-06-14 08:36:47
29,3,Patient_registration_for_HTMC,2016-06-14 12:07:00
30,3,Patient_registration_for_HTMC,2016-06-14 15:02:00
31,3,Charge,2016-06-14 15:28:00
32,3,Patient_registration_for_specialized_medical_aid,2016-06-14 15:28:00
33,3,Charge,2016-06-14 15:54:00
34,3,Patient_registration_for_specialized_medical_aid,2016-06-14 15:54:00
35,4,CP-2.04 Exit through the turnstile 3,2016-06-15 08:33:49
36,4,CP-2.04 Exit through the turnstile 3,2016-06-15 08:33:51
37,4,Charge,2016-06-15 09:58:00
38,4,Patient_registration_for_specialized_medical_aid,2016-06-15 09:59:00
39,4,Patient_registration_for_HTMC,2016-06-15 16:12:00
40,4,Направление_на_ВМП-ОМС,2016-06-15 16:28:00
41,5,CP-2.04 Exit through the turnstile 3,2016-06-16 08:45:06
42,5,Card reader CPC D1.41,2016-06-16 08:46:32
43,5,Card reader CPC D1.10,2016-06-16 08:46:37
44,5,Patient_registration_for_HTMC,2016-06-16 10:46:00
45,5,Charge,2016-06-16 13:06:00
46,5,Patient_registration_for_HTMC,2016-06-16 14:36:00
47,5,Medical_documentation_and_release_records,2016-06-16 16:00:00
48,5,Charge,2016-06-16 16:12:00
49,5,Patient_registration_for_specialized_medical_aid,2016-06-16 16:12:00
50,6,CP-2.04 Exit through the turnstile 3,2016-06-17 08:44:58
51,6,CP-2.04 Exit through the turnstile 3,2016-06-17 08:45:00
52,6,Card reader CPC D1.41,2016-06-17 08:46:33
53,6,Charge,2016-06-17 11:46:00
54,6,Patient_registration_for_specialized_medical_aid,2016-06-17 11:46:00
55,6,Patient_registration_for_specialized_medical_aid,2016-06-17 11:47:00
56,6,Charge,2016-06-17 11:48:00
57,6,Charge,2016-06-17 14:09:00
58,6,Charge,2016-06-17 14:25:00
59,6,Patient_registration_for_specialized_medical_aid,2016-06-17 14:26:00
60,6,Patient_registration_for_specialized_medical_aid,2016-06-17 14:40:00
61,6,Patient_registration_for_HTMC,2016-06-17 16:05:00
62,7,CP-2.04 Exit through the turnstile 3,2016-06-20 08:41:29
63,7,Patient_registration_for_specialized_medical_aid,2016-06-20 11:20:00
64,7,Charge,2016-06-20 11:23:00
65,7,Medical_documentation_and_release_records,2016-06-20 15:29:00
66,8,CP-2.04 Exit through the turnstile 3,2016-06-21 08:41:24
67,8,CP-2.04 Exit through the turnstile 3,2016-06-21 08:41:27
68,8,Patient_registration_for_HTMC,2016-06-21 09:28:00
69,8,Patient_registration_for_HTMC,2016-06-21 09:46:00
70,8,Charge,2016-06-21 11:01:00
71,8,Charge,2016-06-21 15:52:00
72,9,CP-2.04 Exit through the turnstile 3,2016-06-22 08:46:10
73,9,Charge,2016-06-22 11:14:00
74,9,Medical_documentation_and_release_records,2016-06-22 11:56:00
75,9,Medical_documentation_and_release_records,2016-06-22 12:02:00
76,9,Charge,2016-06-22 13:43:00
77,9,Patient_registration_for_specialized_medical_aid,2016-06-22 13:47:00
78,10,CP-2.04 Exit through the turnstile 3,2016-06-23 08:44:49
79,10,Medical_documentation_and_release_records,2016-06-23 10:51:00
80,10,Medical_documentation_and_release_records,2016-06-23 11:51:00
81,10,Charge,2016-06-23 14:50:00
82,10,Charge,2016-06-23 14:50:00
83,10,Patient_registration_for_specialized_medical_aid,2016-06-23 14:51:00
84,10,Medical_documentation_and_release_records,2016-06-23 14:53:00
85,10,Medical_documentation_and_release_records,2016-06-23 14:57:00
86,11,CP-2.04 Exit through the turnstile 3,2016-06-27 08:41:58
87,11,Card reader CPC D1.41,2016-06-27 08:43:41
88,11,Card reader CPC D1.10,2016-06-27 08:43:47
89,11,Medical_documentation_and_release_records,2016-06-27 09:24:00
90,11,Patient_registration_for_HTMC,2016-06-27 14:14:00
91,11,Patient_registration_for_HTMC,2016-06-27 15:02:00
92,12,CP-2.04 Exit through the turnstile 3,2016-06-30 08:39:25
93,12,Card reader CPC D2.09 (1A entry),2016-06-30 08:42:46
94,12,Patient_registration_for_HTMC,2016-06-30 10:32:00
95,12,Patient_registration_for_HTMC,2016-06-30 10:39:00
96,13,CP-2.04 Exit through the turnstile 3,2016-07-04 08:35:53
97,13,Card reader CPC D1.41,2016-07-04 08:37:45
98,13,Patient_registration_for_HTMC,2016-07-04 10:45:00
99,14,CP-2.04 Exit through the turnstile 3,2016-07-05 08:28:20
100,14,Charge,2016-07-05 12:07:00
101,14,Card reader CPC D1.10,2016-07-05 15:07:53
102,15,CP-2.04 Exit through the turnstile 3,2016-07-07 13:15:54
103,15,Card reader CPC D1.41,2016-07-07 13:54:22
104,15,Card reader CPC D1.10,2016-07-07 13:54:26
105,15,Charge,2016-07-07 14:36:00
106,15,Patient_registration_for_specialized_medical_aid,2016-07-07 14:37:00
107,15,Patient_registration_for_HTMC,2016-07-07 14:42:00
108,15,Patient_registration_for_HTMC,2016-07-07 14:56:00
109,15,Patient_registration_for_specialized_medical_aid,2016-07-07 15:05:00
110,15,Patient_registration_for_specialized_medical_aid,2016-07-07 15:44:00
111,15,Card reader CPC D2.14 ESMI,2016-07-07 17:02:44
112,16,CP-2.04 Exit through the turnstile 3,2016-07-08 08:41:24
113,16,Patient_registration_for_HTMC,2016-07-08 13:49:00
114,16,Patient_registration_for_HTMC,2016-07-08 13:57:00
115,16,Charge,2016-07-08 14:54:00
116,17,CP-2.04 Exit through the turnstile 3,2016-07-18 08:41:31
117,17,Card reader CPC D1.10,2016-07-18 08:43:09
118,17,Charge,2016-07-18 12:38:00
119,18,CP-2.04 Exit through the turnstile 3,2016-07-19 08:37:56
120,18,Card reader CPC D1.10,2016-07-19 08:39:30
