,shift,activity,date_time
0,0,Card reader CPC D5.08,2016-06-07 12:41:05
1,0,Card reader CPC D5.06 (1A entry),2016-06-07 12:41:16
2,0,Card reader CPC D5.06 (IPD entry),2016-06-07 12:56:12
3,0,Card reader CPC D5.06 (IPD entry),2016-06-07 12:56:20
4,0,Card reader CPC D7.06,2016-06-07 12:57:00
5,0,View_results,2016-06-07 13:09:00
6,0,View_results,2016-06-07 13:09:00
7,0,Follow-up_of_patient,2016-06-07 14:11:00
8,0,View_results,2016-06-07 14:26:00
9,0,Card reader CPC D1.41,2016-06-07 14:34:41
10,0,Card reader CPC D1.10,2016-06-07 14:34:46
11,0,Card reader CPC D3.13 (in-patient department entry),2016-06-07 15:26:03
12,0,Card reader CPC D2.10,2016-06-07 15:27:10
13,0,Card reader CPC D1.41,2016-06-07 15:30:00
14,0,View_results,2016-06-07 15:33:00
15,0,Follow-up_of_patient,2016-06-07 15:38:00
16,0,View_results,2016-06-07 16:32:00
17,0,View_results,2016-06-07 16:32:00
18,0,View_results,2016-06-07 16:40:00
19,0,Hospital_discharge,2016-06-07 23:16:00
20,0,Card reader CPC D2.10,2016-06-07 23:26:36
21,0,Card reader CPC D2.09 (1A entry),2016-06-07 23:26:49
22,1,CP-2.04 Exit through the turnstile 3,2016-06-08 07:54:17
23,1,Hospital_discharge,2016-06-08 08:06:00
24,1,Follow-up_of_patient,2016-06-08 08:06:00
25,1,View_results,2016-06-08 08:06:00
26,1,View_results,2016-06-08 08:06:00
27,1,Hospital_discharge,2016-06-08 08:07:00
28,1,Hospital_discharge,2016-06-08 08:07:00
29,1,Follow-up_of_patient,2016-06-08 08:07:00
30,1,Follow-up_of_patient,2016-06-08 08:07:00
31,1,Follow-up_of_patient,2016-06-08 08:07:00
32,1,Follow-up_of_patient,2016-06-08 08:07:00
33,1,Follow-up_of_patient,2016-06-08 08:07:00
34,1,Follow-up_of_patient,2016-06-08 08:07:00
35,1,Hospital_discharge,2016-06-08 08:08:00
36,1,Follow-up_of_patient,2016-06-08 08:08:00
37,1,Follow-up_of_patient,2016-06-08 08:08:00
38,1,Follow-up_of_patient,2016-06-08 08:08:00
39,1,Follow-up_of_patient,2016-06-08 08:08:00
40,1,Follow-up_of_patient,2016-06-08 08:08:00
41,1,Follow-up_of_patient,2016-06-08 08:08:00
42,1,Follow-up_of_patient,2016-06-08 08:08:00
43,1,Hospital_discharge,2016-06-08 08:09:00
44,1,Follow-up_of_patient,2016-06-08 08:09:00
45,1,View_results,2016-06-08 08:33:00
46,1,Card reader CPC D5.06 (1A entry),2016-06-08 09:11:43
47,1,Card reader CPC D5.06 (IPD entry),2016-06-08 09:17:00
48,1,Card reader CPC D7.06,2016-06-08 09:17:41
49,1,Follow-up_of_patient,2016-06-08 09:41:00
50,1,View_results,2016-06-08 09:41:00
51,1,Follow-up_of_patient,2016-06-08 09:53:00
52,1,View_results,2016-06-08 10:28:00
53,1,View_results,2016-06-08 10:28:00
54,1,View_results,2016-06-08 10:29:00
55,1,View_results,2016-06-08 10:29:00
56,1,Card reader CPC D5.08,2016-06-08 10:44:02
57,1,Card reader CPC D5.02,2016-06-08 10:44:13
58,1,Card reader CPC D7.06,2016-06-08 10:51:02
59,1,View_results,2016-06-08 12:05:00
60,1,View_results,2016-06-08 12:05:00
61,1,View_results,2016-06-08 12:06:00
62,1,View_results,2016-06-08 12:06:00
63,1,View_results,2016-06-08 12:06:00
64,1,View_results,2016-06-08 12:07:00
65,1,View_results,2016-06-08 12:07:00
66,1,View_results,2016-06-08 12:08:00
67,1,Follow-up_of_patient,2016-06-08 12:54:00
68,1,Card reader CPC D5.08,2016-06-08 13:04:17
69,1,Card reader CPC D5.06 (IPD entry),2016-06-08 13:08:06
70,1,View_results,2016-06-08 13:21:00
71,1,View_results,2016-06-08 13:21:00
72,1,Hospital_discharge,2016-06-08 13:31:00
73,1,View_results,2016-06-08 14:16:00
74,1,View_results,2016-06-08 14:20:00
75,1,View_results,2016-06-08 16:38:00
76,1,View_results,2016-06-08 16:38:00
77,2,CP-2.04 Exit through the turnstile 3,2016-06-09 08:04:41
78,2,Card reader CPC D1.41,2016-06-09 08:05:52
79,2,Card reader CPC D1.10,2016-06-09 08:05:58
80,2,View_results,2016-06-09 08:23:00
81,2,Hospital_discharge,2016-06-09 08:24:00
82,2,Hospital_discharge,2016-06-09 08:24:00
83,2,Follow-up_of_patient,2016-06-09 08:24:00
84,2,Follow-up_of_patient,2016-06-09 08:24:00
85,2,Follow-up_of_patient,2016-06-09 08:24:00
86,2,Follow-up_of_patient,2016-06-09 08:24:00
87,2,Follow-up_of_patient,2016-06-09 08:24:00
88,2,Hospital_discharge,2016-06-09 08:26:00
89,2,Follow-up_of_patient,2016-06-09 08:26:00
90,2,Follow-up_of_patient,2016-06-09 08:26:00
91,2,Follow-up_of_patient,2016-06-09 08:26:00
92,2,Follow-up_of_patient,2016-06-09 08:26:00
93,2,Follow-up_of_patient,2016-06-09 08:26:00
94,2,Follow-up_of_patient,2016-06-09 08:26:00
95,2,Follow-up_of_patient,2016-06-09 08:26:00
96,2,Follow-up_of_patient,2016-06-09 08:27:00
97,2,Follow-up_of_patient,2016-06-09 08:27:00
98,2,Follow-up_of_patient,2016-06-09 08:27:00
99,2,Card reader CPC D5.08,2016-06-09 09:24:40
100,2,Card reader CPC D7.06,2016-06-09 09:38:56
101,2,Требование_на_выдачу_ГТС,2016-06-09 10:27:00
102,2,Переливание_крови_и_ее_компонентов,2016-06-09 10:38:00
103,2,View_results,2016-06-09 10:58:00
104,2,View_results,2016-06-09 11:03:00
105,2,View_results,2016-06-09 11:03:00
106,2,Coronagraphy & Cardiac ventriculography,2016-06-09 11:10:00
107,2,Follow-up_of_patient,2016-06-09 11:35:00
108,2,"КСГ 291180 - Нарушения_ритма_сердца_пароксизмальные,_частые",2016-06-09 12:00:00
109,2,Coronagraphy & Cardiac ventriculography,2016-06-09 12:00:00
110,2,Follow-up_of_patient,2016-06-09 12:32:00
111,2,View_results,2016-06-09 13:15:00
112,2,Card reader CPC D7.06,2016-06-09 13:57:12
113,2,View_results,2016-06-09 14:14:00
114,2,View_results,2016-06-09 14:28:00
115,2,Card reader CPC D5.06 (1A entry),2016-06-09 14:37:33
116,2,Card reader CPC D5.06 (IPD entry),2016-06-09 14:49:27
117,2,Card reader CPC D7.06,2016-06-09 14:50:20
118,2,Hospital_discharge,2016-06-09 15:03:00
119,2,View_results,2016-06-09 15:03:00
120,2,View_results,2016-06-09 16:35:00
121,2,View_results,2016-06-09 16:38:00
122,2,Hospital_discharge,2016-06-09 17:00:00
123,2,Hospital_discharge,2016-06-09 19:21:00
124,2,Hospital_discharge,2016-06-09 19:41:00
125,2,Hospital_discharge,2016-06-09 20:11:00
126,2,Follow-up_of_patient,2016-06-09 20:33:00
127,2,Hospital_discharge,2016-06-09 21:00:00
128,2,Appointment_card Laboratory,2016-06-09 21:01:00
129,3,МЭС 321382 - ХИР поражение артерий нижних конечностей с поверхностными трофическими нарушениями,2016-06-10 08:00:00
130,3,CP-2.04 Exit through the turnstile 3,2016-06-10 08:26:08
131,3,Card reader CPC D1.41,2016-06-10 08:28:32
132,3,View_results,2016-06-10 08:46:00
133,3,Coronagraphy & Cardiac ventriculography,2016-06-10 09:00:00
134,3,Follow-up_of_patient,2016-06-10 09:16:00
135,3,Hospital_discharge,2016-06-10 09:24:00
136,3,Follow-up_of_patient,2016-06-10 09:24:00
137,3,Follow-up_of_patient,2016-06-10 09:24:00
138,3,Hospital_discharge,2016-06-10 09:25:00
139,3,Follow-up_of_patient,2016-06-10 09:25:00
140,3,Follow-up_of_patient,2016-06-10 09:25:00
141,3,Hospital_discharge,2016-06-10 09:26:00
142,3,Follow-up_of_patient,2016-06-10 09:26:00
143,3,Follow-up_of_patient,2016-06-10 09:26:00
144,3,Hospital_discharge,2016-06-10 09:27:00
145,3,Hospital_discharge,2016-06-10 09:27:00
